GENERATORS REPORT
========================================================================== 
   ID     BUS     P_g (MW)  Q_g (MVAr)   S_g (MVA)   Loading_P   Loading_Q 
  485   2563        0.00        0.00        0.00      0.0000      0.0000   
  486   2576        0.00        0.00        0.00      0.0000      0.0000   
  487   2576        0.00        0.00        0.00      0.0000      0.0000   
  488   2581        0.00        0.00        0.00      0.0000      0.0000   
  489   2586        0.00        0.00        0.00      0.0000      0.0000   
  490   2586        0.00        0.00        0.00      0.0000      0.0000   
  491   2592        0.00        0.00        0.00      0.0000      0.0000   
  492   2601        0.00        0.00        0.00      0.0000      0.0000   
  493   2601        0.00        0.00        0.00      0.0000      0.0000   
  494   2610        0.00        0.00        0.00      0.0000      0.0000   
  495   2611        0.00        0.00        0.00      0.0000      0.0000   
  496   2616        0.00        0.00        0.00      0.0000      0.0000   
  497   2624        0.00        0.00        0.00      0.0000      0.0000   
  498   2624        0.00        0.00        0.00      0.0000      0.0000   
  499   2627       28.00        0.00       28.00      1.0000      0.0000   
  500   2640        0.00        0.00        0.00      0.0000      0.0000   
  501   2640        0.00        0.00        0.00      0.0000      0.0000   
  502   2640        0.00        0.00        0.00      0.0000      0.0000   
  503   2643        0.00        0.00        0.00      0.0000      0.0000   
  504   2644       18.00        0.00       18.00      1.0000      0.0000   
  505   2645        0.00        0.00        0.00      0.0000      0.0000   
  506   2645        0.00        0.00        0.00      0.0000      0.0000   
  507   2645        0.00        0.00        0.00      0.0000      0.0000   
  508   2646        0.00        0.00        0.00      0.0000      0.0000   
  509   2646        0.00        0.00        0.00      0.0000      0.0000   
  510   2646        0.00        0.00        0.00      0.0000      0.0000   
  511   2649        0.00        0.00        0.00      0.0000      0.0000   
  512   2649        0.00        0.00        0.00      0.0000      0.0000   
  513   2652        0.00        0.00        0.00      0.0000      0.0000   
  514   2659        0.00        0.00        0.00      0.0000      0.0000   
  515   2659        9.80        0.00        9.80      1.0000      0.0000   
  516   2660        0.00        0.00        0.00      0.0000      0.0000   
  517   2660        0.00        0.00        0.00      0.0000      0.0000   
  518   2663        0.00        0.00        0.00      0.0000      0.0000   
  519   2664        0.00        0.00        0.00      0.0000      0.0000   
  520   2663        0.00        0.00        0.00      0.0000      0.0000   
  521   2662        0.00        0.00        0.00      0.0000      0.0000   
  522   2664        0.00        0.00        0.00      0.0000      0.0000   
  523   2665        0.00        0.00        0.00      0.0000      0.0000   
  524   2669        0.00        0.00        0.00      0.0000      0.0000   
  525   2669        0.00        0.00        0.00      0.0000      0.0000   
  526   2669        0.00        0.00        0.00      0.0000      0.0000   
  527   2669        0.00        0.00        0.00      0.0000      0.0000   
  528   2669        0.00        0.00        0.00      0.0000      0.0000   
  529   2674        0.00        0.00        0.00      0.0000      0.0000   
  530   2688        0.00        0.00        0.00      0.0000      0.0000   
  531   2695        0.00        0.00        0.00      0.0000      0.0000   
  532   2729        0.00        0.00        0.00      0.0000      0.0000   
  533   2734        0.00        0.00        0.00      0.0000      0.0000   
  534   2734       17.00        0.00       17.00      1.0000      0.0000   
  535   2766        0.00        0.00        0.00      0.0000      0.0000   
  536   2776        0.00        0.00        0.00      0.0000      0.0000   
  537   2812        0.00        0.00        0.00      0.0000      0.0000   
  538   2813        0.00        0.00        0.00      0.0000      0.0000   
  539   2818        0.00        0.00        0.00      0.0000      0.0000   
  540   2822        0.00        0.00        0.00      0.0000      0.0000   
  541   2833       12.00        0.00       12.00      1.0000      0.0000   
  542   2838        0.00        0.00        0.00      0.0000      0.0000   
  543   2840        0.00        0.00        0.00      0.0000      0.0000   
  544   2840        0.00        0.00        0.00      0.0000      0.0000   
  545   2843        0.00        0.00        0.00      0.0000      0.0000   
  546   2843        0.00        0.00        0.00      0.0000      0.0000   
  547   2845        0.00        0.00        0.00      0.0000      0.0000   
  548   2845        0.00        0.00        0.00      0.0000      0.0000   
  549   2857        0.00        0.00        0.00      0.0000      0.0000   
  550   2868        0.00        0.00        0.00      0.0000      0.0000   
  551   2874        0.00        0.00        0.00      0.0000      0.0000   
  552   2876        0.00        0.00        0.00      0.0000      0.0000   
  553   2876        0.00        0.00        0.00      0.0000      0.0000   
  554   2884        0.00        0.00        0.00      0.0000      0.0000   
  555   2899        0.00        0.00        0.00     -0.0000      0.0000   
  556   2899       26.50        0.00       26.50      1.0000      0.0000   
  557   2899        0.00        0.00        0.00     -0.0000      0.0000   
  558   2904        0.00        0.00        0.00      0.0000      0.0000   
  559   2904        0.00        0.00        0.00      0.0000      0.0000   
  560   2904        0.00        0.00        0.00      0.0000      0.0000   
  561   2908        0.00        0.00        0.00      0.0000      0.0000   
  562   2928        0.00        0.00        0.00      0.0000      0.0000   
  563   2929        0.00        0.00        0.00      0.0000      0.0000   
  564   2941        0.00        0.00        0.00      0.0000      0.0000   
  565   2948        0.00        0.00        0.00      0.0000      0.0000   
  566   2954        0.00        0.00        0.00      0.0000      0.0000   
  567   2954        0.00        0.00        0.00      0.0000      0.0000   
  568   2975        0.00        0.00        0.00      0.0000      0.0000   
  569   2982        0.00        0.00        0.00      0.0000      0.0000   
  570   2993        0.00        0.00        0.00      0.0000      0.0000   
  571   3020        0.00        0.00        0.00      0.0000      0.0000   
  572   3020        0.00        0.00        0.00      0.0000      0.0000   
  573   3021        0.00        0.00        0.00      0.0000      0.0000   
  574   3022        0.00        0.00        0.00      0.0000      0.0000   
  575   3022       13.00        0.00       13.00      1.0000      0.0000   
  576   3024        0.00        0.00        0.00      0.0000      0.0000   
  577   3027        0.00        0.00        0.00      0.0000      0.0000   
  578   3027        0.00        0.00        0.00      0.0000      0.0000   
  579   3029        0.00        0.00        0.00      0.0000      0.0000   
  580   3036        0.00        0.00        0.00      0.0000      0.0000   
  581   3038        0.00        0.00        0.00      0.0000      0.0000   
  582   3049       16.00        0.00       16.00      1.0000      0.0000   
  583   3059        0.00        0.00        0.00      0.0000      0.0000   
  584   3060        0.00        0.00        0.00      0.0000      0.0000   
  585   3070        0.00        0.00        0.00      0.0000      0.0000   
  586   3098        0.00        0.00        0.00      0.0000      0.0000   
  587   3107        0.00        0.00        0.00      0.0000      0.0000   
  588   3110        0.00        0.00        0.00      0.0000      0.0000   
  589   3113        0.00        0.00        0.00      0.0000      0.0000   
  590   3116        0.00        0.00        0.00      0.0000      0.0000   
  591   3117       38.00        0.00       38.00      1.0000      0.0000   
  592   3118       38.00        0.00       38.00      1.0000      0.0000   
  593   3122        0.00        0.00        0.00      0.0000      0.0000   
  594   3123        0.00        0.00        0.00      0.0000      0.0000   
  595   3123        0.00        0.00        0.00      0.0000      0.0000   
  596   3125       20.80        0.00       20.80      1.0000      0.0000   
  597   3126        0.00        0.00        0.00      0.0000      0.0000   
  598   3131        0.00        0.00        0.00      0.0000      0.0000   
  599   3132        0.00        0.00        0.00      0.0000      0.0000   
  600   3132        0.00        0.00        0.00      0.0000      0.0000   
  601   3136        0.00        0.00        0.00      0.0000      0.0000   
  602   3136       14.00        0.00       14.00      1.0000      0.0000   
  603   3140        0.00        0.00        0.00      0.0000      0.0000   
  604   3140        0.00        0.00        0.00      0.0000      0.0000   
  605   3142        0.00        0.00        0.00      0.0000      0.0000   
  606   3147       10.50        0.00       10.50      1.0000      0.0000   
  607   3147        8.60        0.00        8.60      1.0000      0.0000   
  608   3151        0.00        0.00        0.00      0.0000      0.0000   
  609   3157       48.00        0.00       48.00      1.0000      0.0000   
  610   3159       16.00        0.00       16.00      1.0000      0.0000   
  611   3159        0.00        0.00        0.00      0.0000      0.0000   
  612   3159        0.00        0.00        0.00      0.0000      0.0000   
  613   3178        0.00        0.00        0.00      0.0000      0.0000   
  614   3178        0.00        0.00        0.00      0.0000      0.0000   
  615   3185        0.00        0.00        0.00      0.0000      0.0000   
  616   3185        0.00        0.00        0.00      0.0000      0.0000   
  617   3188        0.00        0.00        0.00      0.0000      0.0000   
  618   3188        0.00        0.00        0.00      0.0000      0.0000   
  619   3210       20.00        0.00       20.00      1.0000      0.0000   
  620   3219        0.00        0.00        0.00      0.0000      0.0000   
  621   3219        0.00        0.00        0.00      0.0000      0.0000   
  622   3238        0.00        0.00        0.00      0.0000      0.0000   
  623   3239        0.00        0.00        0.00      0.0000      0.0000   
  624   3241        0.00        0.00        0.00      0.0000      0.0000   
  625   3244        0.00        0.00        0.00      0.0000      0.0000   
  626   3246        0.00        0.00        0.00      0.0000      0.0000   
  627   3250        0.00        0.00        0.00      0.0000      0.0000   
  628   3260        0.00        0.00        0.00      0.0000      0.0000   
  629   3264        6.00        0.00        6.00      1.0000      0.0000   
  630   3265        0.00        0.00        0.00      0.0000      0.0000   
  631   3265       32.70        0.00       32.70      1.0000      0.0000   
  632   3265        0.00        0.00        0.00      0.0000      0.0000   
  633   3266       42.00        0.00       42.00      1.0000      0.0000   
  634   3266       42.00        0.00       42.00      1.0000      0.0000   
  635   3276        0.00        0.00        0.00      0.0000      0.0000   
  636   3276        0.00        0.00        0.00      0.0000      0.0000   
  637   3280        0.00        0.00        0.00      0.0000      0.0000   
  638   3281        0.00        0.00        0.00      0.0000      0.0000   
  639   3282       36.10        0.00       36.10      1.0000      0.0000   
  640   3295        0.00        0.00        0.00      0.0000      0.0000   
  641   3301       13.00        0.00       13.00      1.0000      0.0000   
  642   3308       17.00        0.00       17.00      1.0000      0.0000   
  643   3308       17.00        0.00       17.00      1.0000      0.0000   
  644   3313        0.00        0.00        0.00      0.0000      0.0000   
  645   3313       10.20        0.00       10.20      1.0000      0.0000   
  646   3315        0.00        0.00        0.00      0.0000      0.0000   
  647   3315        0.00        0.00        0.00      0.0000      0.0000   
  648   3339        0.00        0.00        0.00      0.0000      0.0000   
  649   3345        0.00        0.00        0.00     -0.0000      0.0000   
  650   3377        0.00        0.00        0.00      0.0000      0.0000   
  651   3377        0.00        0.00        0.00      0.0000      0.0000   
  652   3382       39.80        0.00       39.80      1.0000      0.0000   
  653   3383        0.00        0.00        0.00      0.0000      0.0000   
  654   3405       43.00        0.00       43.00      1.0000      0.0000   
  655   3408       24.00        0.00       24.00      1.0000      0.0000   
  656   3418        0.00        0.00        0.00      0.0000      0.0000   
  657   3418        7.50        0.00        7.50      1.0000      0.0000   
  658   3418        0.00        0.00        0.00      0.0000      0.0000   
  659   3418        0.00        0.00        0.00      0.0000      0.0000   
  660   3418        0.00        0.00        0.00      0.0000      0.0000   
  661   3423        0.00        0.00        0.00      0.0000      0.0000   
  662   3423       36.00        0.00       36.00      1.0000      0.0000   
  663   3424        0.00        0.00        0.00      0.0000      0.0000   
  664   3424        0.00        0.00        0.00      0.0000      0.0000   
  665   3431        0.00        0.00        0.00      0.0000      0.0000   
  666   3434        0.00        0.00        0.00      0.0000      0.0000   
  667   3437        0.00        0.00        0.00      0.0000      0.0000   
  668   3440        0.00        0.00        0.00      0.0000      0.0000   
  669   3440        0.00        0.00        0.00      0.0000      0.0000   
  670   3445        0.00        0.00        0.00      0.0000      0.0000   
  671   3450        0.00        0.00        0.00      0.0000      0.0000   
  672   3451        0.00        0.00        0.00      0.0000      0.0000   
  673   3454        0.00        0.00        0.00      0.0000      0.0000   
  674   3461       12.00        0.00       12.00      1.0000      0.0000   
  675   3468        0.00        0.00        0.00      0.0000      0.0000   
  676   3488        0.00        0.00        0.00      0.0000      0.0000   
  677   3491        0.00        0.00        0.00      0.0000      0.0000   
  678   3491       53.00        0.00       53.00      1.0000      0.0000   
  679   3495        0.00        0.00        0.00      0.0000      0.0000   
  680   3504       35.00        0.00       35.00      1.0000      0.0000   
  681   3505        0.00        0.00        0.00      0.0000      0.0000   
  682   3507        0.00        0.00        0.00      0.0000      0.0000   
  683   3508        0.00        0.00        0.00      0.0000      0.0000   
  684   3513       48.00        0.00       48.00      1.0000      0.0000   
  685   3513        0.00        0.00        0.00      0.0000      0.0000   
  686   3521        0.00        0.00        0.00      0.0000      0.0000   
  687   3530        0.00        0.00        0.00      0.0000      0.0000   
  688   3544       12.80        0.00       12.80      1.0000      0.0000   
  689   3545        0.00        0.00        0.00      0.0000      0.0000   
  690   3550        0.00        0.00        0.00      0.0000      0.0000   
  691   3550        0.00        0.00        0.00      0.0000      0.0000   
  692   3550        0.00        0.00        0.00      0.0000      0.0000   
  693   3549        0.00        0.00        0.00      0.0000      0.0000   
  694   3584        0.00        0.00        0.00      0.0000      0.0000   
  695   3587       20.00        0.00       20.00      1.0000      0.0000   
  696   3587        0.80        0.00        0.80      0.0000      0.0000   
  697   3586        0.00        0.00        0.00     -0.0000      0.0000   
  698   3586        0.80        0.00        0.80      0.0000      0.0000   
  699   3600        0.00        0.00        0.00      0.0000      0.0000   
  700   3600        0.00        0.00        0.00      0.0000      0.0000   
  701   3600       23.00        0.00       23.00      1.0000      0.0000   
  702   3604      -40.00        0.00      -40.00      0.0000      0.0000   
  703   3604       50.00        0.00       50.00      1.0000      0.0000   
  704   3636        0.00        0.00        0.00      0.0000      0.0000   
  705   3646       14.89        0.00       14.89      1.0000      0.0000   
  706   3646        0.00        0.00        0.00      0.0000      0.0000   
  707   3649        0.00        0.00        0.00      0.0000      0.0000   
  708   3651        7.00        0.00        7.00      1.0000      0.0000   
  709   3651        7.00        0.00        7.00      1.0000      0.0000   
  710   3652        0.00        0.00        0.00      0.0000      0.0000   
  711   3657        0.00        0.00        0.00      0.0000      0.0000   
  712   3660        0.00        0.00        0.00      0.0000      0.0000   
  713   3661        0.00        0.00        0.00      0.0000      0.0000   
  714   3667        0.00        0.00        0.00      0.0000      0.0000   
  715   3667        0.00        0.00        0.00      0.0000      0.0000   
  716   3668        0.00        0.00        0.00      0.0000      0.0000   
  717   3684        0.00        0.00        0.00      0.0000      0.0000   
  718   3686        0.00        0.00        0.00      0.0000      0.0000   
  719   3692        9.50        0.00        9.50      1.0000      0.0000   
  720   3694        0.00        0.00        0.00      0.0000      0.0000   
  721   3696        0.00        0.00        0.00      0.0000      0.0000   
  722   3713        0.00        0.00        0.00      0.0000      0.0000   
  723   3715        0.00        0.00        0.00      0.0000      0.0000   
  724   3716        0.00        0.00        0.00      0.0000      0.0000   
  725   3717       44.00        0.00       44.00      1.0000      0.0000   
  726   3744        0.00        0.00        0.00      0.0000      0.0000   
  727   3748       11.20        0.00       11.20      1.0000      0.0000   
  728   3753        0.00        0.00        0.00      0.0000      0.0000   
  729   3758       10.00        0.00       10.00      1.0000      0.0000   
  730   3758       20.00        0.00       20.00      1.0000      0.0000   
  731   3760        0.00        0.00        0.00      0.0000      0.0000   
  732   3761        0.00        0.00        0.00      0.0000      0.0000   
  733   3796        0.00        0.00        0.00      0.0000      0.0000   
  734   3796        0.00        0.00        0.00      0.0000      0.0000   
  735   3799        0.00        0.00        0.00      0.0000      0.0000   
  736   3799        0.00        0.00        0.00      0.0000      0.0000   
  737   3799        0.00        0.00        0.00      0.0000      0.0000   
  738   3801        0.00        0.00        0.00      0.0000      0.0000   
  739   3801        0.00        0.00        0.00      0.0000      0.0000   
  740   3816        0.00        0.00        0.00      0.0000      0.0000   
  741   3817       37.80        0.00       37.80      1.0000      0.0000   
  742   3818       37.80        0.00       37.80      1.0000      0.0000   
  743   3822        0.00        0.00        0.00      0.0000      0.0000   
  744   3826        0.00        0.00        0.00      0.0000      0.0000   
  745   3836        0.00        0.00        0.00      0.0000      0.0000   
  746   3842        0.00        0.00        0.00      0.0000      0.0000   
  747   3842       13.00        0.00       13.00      1.0000      0.0000   
  748   3853        0.00        0.00        0.00      0.0000      0.0000   
  749   3863        0.00        0.00        0.00      0.0000      0.0000   
  750   3868        0.00        0.00        0.00      0.0000      0.0000   
  751   3869        0.00        0.00        0.00      0.0000      0.0000   
  752   3876        0.00        0.00        0.00      0.0000      0.0000   
  753   3889        0.00        0.00        0.00      0.0000      0.0000   
  754   3893        0.00        0.00        0.00      0.0000      0.0000   
  755   3893        0.00        0.00        0.00      0.0000      0.0000   
  756   3904        0.00        0.00        0.00      0.0000      0.0000   
  757   3904        0.00        0.00        0.00      0.0000      0.0000   
  758   3919        0.00        0.00        0.00      0.0000      0.0000   
  759   3924        0.00        0.00        0.00      0.0000      0.0000   
  760   3925        0.00        0.00        0.00      0.0000      0.0000   
  761   3927        0.00        0.00        0.00      0.0000      0.0000   
  762   3939        0.00        0.00        0.00      0.0000      0.0000   
  763   3940        0.00        0.00        0.00      0.0000      0.0000   
  764   3951        0.00        0.00        0.00      0.0000      0.0000   
  765   3969       40.00        0.00       40.00      1.0000      0.0000   
  766   3969       40.00        0.00       40.00      1.0000      0.0000   
  767   3968       40.00        0.00       40.00      1.0000      0.0000   
  768   3968       40.00        0.00       40.00      1.0000      0.0000   
  769   3977        0.00        0.00        0.00      0.0000      0.0000   
  770   3977        0.00        0.00        0.00      0.0000      0.0000   
  771   3987        0.00        0.00        0.00      0.0000      0.0000   
  772   3987        0.00        0.00        0.00      0.0000      0.0000   
  773   3987        0.00        0.00        0.00      0.0000      0.0000   
  774   3998        0.00        0.00        0.00      0.0000      0.0000   
  775   3998       24.80        0.00       24.80      1.0000      0.0000   
  776   4000        0.00        0.00        0.00      0.0000      0.0000   
  777   4000        0.00        0.00        0.00      0.0000      0.0000   
  778   4025        0.00        0.00        0.00      0.0000      0.0000   
  779   4029        0.00        0.00        0.00      0.0000      0.0000   
  780   4031        0.00        0.00        0.00      0.0000      0.0000   
  781   4031        0.00        0.00        0.00      0.0000      0.0000   
  782   4054        0.00        0.00        0.00      0.0000      0.0000   
  783   4055        0.00        0.00        0.00      0.0000      0.0000   
  784   4055        0.00        0.00        0.00      0.0000      0.0000   
  785   4065        0.00        0.00        0.00      0.0000      0.0000   
  786   4071        0.00        0.00        0.00      0.0000      0.0000   
  787   4108        0.00        0.00        0.00      0.0000      0.0000   
  788   4125        0.00        0.00        0.00      0.0000      0.0000   
  789   4129       12.30        0.00       12.30      1.0000      0.0000   
  790   4129        0.00        0.00        0.00      0.0000      0.0000   
  791   4129       12.30        0.00       12.30      1.0000      0.0000   
  792   4131        0.00        0.00        0.00      0.0000      0.0000   
  793   4131        0.00        0.00        0.00      0.0000      0.0000   
  794   4169        0.00        0.00        0.00      0.0000      0.0000   
  795   4198        0.00        0.00        0.00      0.0000      0.0000   
  796   4198        0.00        0.00        0.00      0.0000      0.0000   
  797   4217        0.00        0.00        0.00      0.0000      0.0000   
  798   4216        0.00        0.00        0.00      0.0000      0.0000   
  799   4231        0.00        0.00        0.00      0.0000      0.0000   
  800   4235        0.00        0.00        0.00      0.0000      0.0000   
  801   4244        0.00        0.00        0.00      0.0000      0.0000   
  802   4245       19.00        0.00       19.00      1.0000      0.0000   
  803   4260        0.00        0.00        0.00      0.0000      0.0000   
  804   4260        0.00        0.00        0.00      0.0000      0.0000   
  805   4274       12.00        0.00       12.00      1.0000      0.0000   
  806   4274        0.00        0.00        0.00      0.0000      0.0000   
  807   4275        0.00        0.00        0.00      0.0000      0.0000   
  808   4275       12.00        0.00       12.00      1.0000      0.0000   
  809   4293        0.00        0.00        0.00      0.0000      0.0000   
  810   4299       46.00        0.00       46.00      1.0000      0.0000   
  811   4300        0.00        0.00        0.00      0.0000      0.0000   
  812   4301        0.00        0.00        0.00      0.0000      0.0000   
  813   4305        0.00        0.00        0.00      0.0000      0.0000   
  814   4309        0.00        0.00        0.00      0.0000      0.0000   
  815   4309        0.00        0.00        0.00      0.0000      0.0000   
  816   4315        0.00        0.00        0.00      0.0000      0.0000   
  817   4319        0.00        0.00        0.00      0.0000      0.0000   
  818   4320        0.00        0.00        0.00      0.0000      0.0000   
  819   4324        0.00        0.00        0.00      0.0000      0.0000   
  820   4326        0.00        0.00        0.00      0.0000      0.0000   
  821   4326        0.00        0.00        0.00      0.0000      0.0000   
  822   4327       39.00        0.00       39.00      1.0000      0.0000   
  823   4337        0.00        0.00        0.00      0.0000      0.0000   
  824   4337        0.00        0.00        0.00      0.0000      0.0000   
  825   4345       26.00        0.00       26.00      1.0000      0.0000   
  826   4352        0.00        0.00        0.00      0.0000      0.0000   
  827   4371        0.00        0.00        0.00      0.0000      0.0000   
  828   4371        0.00        0.00        0.00      0.0000      0.0000   
  829   4376        0.00        0.00        0.00      0.0000      0.0000   
  830   4379        0.00        0.00        0.00      0.0000      0.0000   
  831   4384        0.00        0.00        0.00      0.0000      0.0000   
  832   4384        0.00        0.00        0.00      0.0000      0.0000   
  833   4384        0.00        0.00        0.00      0.0000      0.0000   
  834   4393        0.00        0.00        0.00      0.0000      0.0000   
  835   4413        0.00        0.00        0.00      0.0000      0.0000   
  836   4413        0.00        0.00        0.00      0.0000      0.0000   
  837   4414        0.00        0.00        0.00      0.0000      0.0000   
  838   4414        0.00        0.00        0.00      0.0000      0.0000   
  839   4415        0.00        0.00        0.00      0.0000      0.0000   
  840   4431        0.00        0.00        0.00      0.0000      0.0000   
  841   4449        0.00        0.00        0.00      0.0000      0.0000   
  842   4449        0.00        0.00        0.00      0.0000      0.0000   
  843   4451       26.00        0.00       26.00      1.0000      0.0000   
  844   4451       26.00        0.00       26.00      1.0000      0.0000   
  845   4455       29.90        0.00       29.90      1.0000      0.0000   
  846   4456       13.70        0.00       13.70      1.0000      0.0000   
  847   4475        0.00        0.00        0.00      0.0000      0.0000   
  848   4477        0.00        0.00        0.00      0.0000      0.0000   
  849   4478       23.70        0.00       23.70      1.0000      0.0000   
  850   4479        0.00        0.00        0.00      0.0000      0.0000   
  851   4480        0.00        0.00        0.00      0.0000      0.0000   
  852   4481       23.70        0.00       23.70      1.0000      0.0000   
  853   4482        0.00        0.00        0.00      0.0000      0.0000   
  854   4495        0.00        0.00        0.00      0.0000      0.0000   
  855   4508        0.00        0.00        0.00      0.0000      0.0000   
  856   4511        0.00        0.00        0.00      0.0000      0.0000   
  857   4511       21.00        0.00       21.00      1.0000      0.0000   
  858   4515       87.00        0.00       87.00      1.0000      0.0000   
  859   4524       22.00        0.00       22.00      1.0000      0.0000   
  860   4524        0.00        0.00        0.00      0.0000      0.0000   
  861   4538        0.00        0.00        0.00      0.0000      0.0000   
  862   4538        0.00        0.00        0.00      0.0000      0.0000   
  863   4538        0.00        0.00        0.00      0.0000      0.0000   
  864   4538        0.00        0.00        0.00      0.0000      0.0000   
  865   4538        0.00        0.00        0.00      0.0000      0.0000   
  866   4567       22.00        0.00       22.00      1.0000      0.0000   
  867   4571        0.00        0.00        0.00      0.0000      0.0000   
  868   4574       45.00        0.00       45.00      1.0000      0.0000   
  869   4574       44.00        0.00       44.00      0.0000      0.0000   
  870   4582        0.00        0.00        0.00      0.0000      0.0000   
  871   4583        0.00        0.00        0.00      0.0000      0.0000   
  872   4585        0.00        0.00        0.00      0.0000      0.0000   
  873   4588        0.00        0.00        0.00      0.0000      0.0000   
  874   4588        0.00        0.00        0.00      0.0000      0.0000   
  875   4623       36.80        0.00       36.80      1.0000      0.0000   
  876   4634        0.00        0.00        0.00      0.0000      0.0000   
  877   4635        0.00        0.00        0.00      0.0000      0.0000   
  878   4636        0.00        0.00        0.00      0.0000      0.0000   
  879   4645        0.00        0.00        0.00      0.0000      0.0000   
  880   4646        0.00        0.00        0.00      0.0000      0.0000   
  881   4651        0.00        0.00        0.00      0.0000      0.0000   
  882   4657        0.00        0.00        0.00      0.0000      0.0000   
  883   4661        0.00        0.00        0.00      0.0000      0.0000   
  884   4662        0.00        0.00        0.00      0.0000      0.0000   
  885   4669        0.00        0.00        0.00      0.0000      0.0000   
  886   4669        0.00        0.00        0.00      0.0000      0.0000   
  887   4674        0.00        0.00        0.00      0.0000      0.0000   
  888   4674        0.00        0.00        0.00      0.0000      0.0000   
  889   4674        0.00        0.00        0.00      0.0000      0.0000   
  890   4674        7.00        0.00        7.00      1.0000      0.0000   
  891   4674        0.00        0.00        0.00      0.0000      0.0000   
  892   4686        0.00        0.00        0.00      0.0000      0.0000   
  893   4701        0.00        0.00        0.00      0.0000      0.0000   
  894   4701        0.00        0.00        0.00      0.0000      0.0000   
  895   4701        0.00        0.00        0.00      0.0000      0.0000   
  896   4718       11.50        0.00       11.50      1.0000      0.0000   
  897   4718        0.00        0.00        0.00      0.0000      0.0000   
  898   4719        0.00        0.00        0.00      0.0000      0.0000   
  899   4719        0.00        0.00        0.00      0.0000      0.0000   
  900   4720        0.00        0.00        0.00      0.0000      0.0000   
  901   4721       10.00        0.00       10.00      1.0000      0.0000   
  902   4721       15.00        0.00       15.00      1.0000      0.0000   
  903   4721        0.00        0.00        0.00      0.0000      0.0000   
  904   4757        0.00        0.00        0.00      0.0000      0.0000   
  905   4758        0.00        0.00        0.00      0.0000      0.0000   
  906   4758       10.00        0.00       10.00      1.0000      0.0000   
  907   4759       10.00        0.00       10.00      1.0000      0.0000   
  908   4759       10.00        0.00       10.00      1.0000      0.0000   
  909   4768        0.00        0.00        0.00      0.0000      0.0000   
  910   4771        0.00        0.00        0.00      0.0000      0.0000   
  911   4778        0.00        0.00        0.00      0.0000      0.0000   
  912   4783       28.00        0.00       28.00      1.0000      0.0000   
  913   4789        0.00        0.00        0.00      0.0000      0.0000   
  914   4794        0.00        0.00        0.00      0.0000      0.0000   
  915   4805       27.00        0.00       27.00      1.0000      0.0000   
  916   4815        0.00        0.00        0.00      0.0000      0.0000   
  917   4818        6.40        0.00        6.40      1.0000      0.0000   
  918   4819       15.00        0.00       15.00      1.0000      0.0000   
  919   4819       15.00        0.00       15.00      1.0000      0.0000   
  920   4820       15.00        0.00       15.00      1.0000      0.0000   
  921   4820       15.00        0.00       15.00      1.0000      0.0000   
  922   4827        0.00        0.00        0.00      0.0000      0.0000   
  923   4830      170.00        0.00      170.00      1.0000      0.0000   
  924   4830      170.00        0.00      170.00      1.0000      0.0000   
  925   4829      170.00        0.00      170.00      1.0000      0.0000   
  926   4829      170.00        0.00      170.00      1.0000      0.0000   
  927   4826      170.00        0.00      170.00      1.0000      0.0000   
  928   4826      170.00        0.00      170.00      1.0000      0.0000   
  929   4825      170.00        0.00      170.00      1.0000      0.0000   
  930   4825      170.00        0.00      170.00      1.0000      0.0000   
  931   4828      150.00        0.00      150.00      1.0000      0.0000   
  932   4828        0.00        0.00        0.00      0.0000      0.0000   
  933   4827      150.00        0.00      150.00      1.0000      0.0000   
  934   4837        0.00        0.00        0.00      0.0000      0.0000   
  935   4837        0.00        0.00        0.00      0.0000      0.0000   
  936   4848        0.00        0.00        0.00      0.0000      0.0000   
  937   4856        0.00        0.00        0.00      0.0000      0.0000   
  938   4856        0.00        0.00        0.00      0.0000      0.0000   
  939   4869        0.00        0.00        0.00      0.0000      0.0000   
  940   4869        0.00        0.00        0.00      0.0000      0.0000   
  941   4876        0.00        0.00        0.00      0.0000      0.0000   
  942   4883       12.80        0.00       12.80      1.0000      0.0000   
  943   4887        0.00        0.00        0.00      0.0000      0.0000   
  944   4887        0.00        0.00        0.00      0.0000      0.0000   
  945   4899        0.00        0.00        0.00      0.0000      0.0000   
  946   4903        0.00        0.00        0.00     -0.0000      0.0000   
  947   4905        0.00        0.00        0.00      0.0000      0.0000   
  948   4905       20.00        0.00       20.00      1.0000      0.0000   
  949   4905        0.00        0.00        0.00      0.0000      0.0000   
  950   4925        0.00        0.00        0.00      0.0000      0.0000   
  951   4928       33.00        0.00       33.00      1.0000      0.0000   
  952   4935        0.00        0.00        0.00      0.0000      0.0000   
  953   4951        9.60        0.00        9.60      1.0000      0.0000   
  954   4955        0.00        0.00        0.00      0.0000      0.0000   
  955   4966        0.00        0.00        0.00      0.0000      0.0000   
  956   4966        0.00        0.00        0.00      0.0000      0.0000   
  957   4973        0.00        0.00        0.00      0.0000      0.0000   
  958   4973       30.00        0.00       30.00      1.0000      0.0000   
  959   4986        0.00        0.00        0.00      0.0000      0.0000   
  960   4987       35.10        0.00       35.10      1.0000      0.0000   
  961   4988        0.00        0.00        0.00      0.0000      0.0000   
  962   4989       35.10        0.00       35.10      1.0000      0.0000   
  963   4996        0.00        0.00        0.00      0.0000      0.0000   
  964   4997        0.00        0.00        0.00      0.0000      0.0000   
